Date,Date,Irr
2014-01-01 00:30:00,2014-01-01 00:30:00,0.0
2014-01-01 01:30:00,2014-01-01 01:30:00,0.0
2014-01-01 02:30:00,2014-01-01 02:30:00,1.45
2014-01-01 03:30:00,2014-01-01 03:30:00,150.72
2014-01-01 04:30:00,2014-01-01 04:30:00,373.87
2014-01-01 05:30:00,2014-01-01 05:30:00,591.59
2014-01-01 06:30:00,2014-01-01 06:30:00,671.12
2014-01-01 07:30:00,2014-01-01 07:30:00,592.45
2014-01-01 08:30:00,2014-01-01 08:30:00,591.98
2014-01-01 09:30:00,2014-01-01 09:30:00,510.1
2014-01-01 10:30:00,2014-01-01 10:30:00,721.23
2014-01-01 11:30:00,2014-01-01 11:30:00,1096.67
2014-01-01 12:30:00,2014-01-01 12:30:00,0.0
2014-01-01 13:30:00,2014-01-01 13:30:00,0.0
2014-01-01 14:30:00,2014-01-01 14:30:00,0.0
2014-01-01 15:30:00,2014-01-01 15:30:00,0.0
2014-01-01 16:30:00,2014-01-01 16:30:00,0.0
2014-01-01 17:30:00,2014-01-01 17:30:00,0.0
2014-01-01 18:30:00,2014-01-01 18:30:00,0.0
2014-01-01 19:30:00,2014-01-01 19:30:00,0.0
2014-01-01 20:30:00,2014-01-01 20:30:00,0.0
2014-01-01 21:30:00,2014-01-01 21:30:00,0.0
2014-01-01 22:30:00,2014-01-01 22:30:00,0.0
2014-01-01 23:30:00,2014-01-01 23:30:00,0.0
2014-01-02 00:30:00,2014-01-02 00:30:00,0.0
2014-01-02 01:30:00,2014-01-02 01:30:00,0.0
2014-01-02 02:30:00,2014-01-02 02:30:00,2.35
2014-01-02 03:30:00,2014-01-02 03:30:00,244.31
2014-01-02 04:30:00,2014-01-02 04:30:00,583.1
2014-01-02 05:30:00,2014-01-02 05:30:00,808.12
2014-01-02 06:30:00,2014-01-02 06:30:00,961.22
2014-01-02 07:30:00,2014-01-02 07:30:00,1082.19
2014-01-02 08:30:00,2014-01-02 08:30:00,1190.19
2014-01-02 09:30:00,2014-01-02 09:30:00,1314.72
2014-01-02 10:30:00,2014-01-02 10:30:00,1535.77
2014-01-02 11:30:00,2014-01-02 11:30:00,2682.42
2014-01-02 12:30:00,2014-01-02 12:30:00,0.0
2014-01-02 13:30:00,2014-01-02 13:30:00,0.0
2014-01-02 14:30:00,2014-01-02 14:30:00,0.0
2014-01-02 15:30:00,2014-01-02 15:30:00,0.0
2014-01-02 16:30:00,2014-01-02 16:30:00,0.0
2014-01-02 17:30:00,2014-01-02 17:30:00,0.0
2014-01-02 18:30:00,2014-01-02 18:30:00,0.0
2014-01-02 19:30:00,2014-01-02 19:30:00,0.0
2014-01-02 20:30:00,2014-01-02 20:30:00,0.0
2014-01-02 21:30:00,2014-01-02 21:30:00,0.0
